name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Bruno Fernando,Hou,F-C,24.47,27,11.5,23.9,14,14.3,36,0.667,73,0.548,1,0,0.541,0.579,3.9,3.6,16.8,0.9,11.6,0.22,0.96,0.56,8.1,121.9,99.1
Dorian Finney-Smith,Dal,F,29.75,38,32.1,66.9,12.7,10,34,0.735,86,0.558,205,0.346,0.531,0.546,8.8,4.5,8.3,1.4,6.2,0.95,0.5,0.89,4.8,113.1,112.9
Malachi Flynn,Tor,G,24.74,36,13.9,29,17,8,17,0.765,78,0.359,99,0.374,0.472,0.488,5,1.5,6.2,1.4,14.3,0.33,0.08,0.44,6.3,108,110
Simone Fontecchio,Uta,F,27.15,26,8.1,16.9,19.7,14.1,14,0.643,22,0.409,57,0.368,0.513,0.528,3.5,1.1,7.3,0.3,5.2,0.12,0.19,0.54,5.2,100.6,110.8
Bryn Forbes,Min,G,29.53,22,10.7,22.3,16.1,10.1,13,1,35,0.429,39,0.256,0.405,0.458,3.3,0.6,3.1,0.6,7.7,0.32,0.05,0.41,4,94.7,112.2
Trent Forrest,Atl,G,24.64,17,13.4,27.9,11.1,15.2,3,0.667,47,0.489,2,0,0.469,0.477,2.8,1.6,6.7,1.8,16.9,0.35,0.12,0.53,6,105.4,112.3
Michael Foster Jr.,Phi,F,20.05,1,1,2.1,0,N/A,0,0,0,0,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,N/A,N/A
Evan Fournier,Nyk,G-F,30.26,20,18.5,38.5,18.4,11.9,19,0.842,45,0.422,87,0.31,0.451,0.481,6.8,2.1,6.1,1.5,11.2,0.6,0.15,0.95,6,99.4,107.8
De'Aaron Fox,Sac,G,25.12,47,33.7,70.2,29.3,11,260,0.788,625,0.568,225,0.333,0.55,0.591,24.3,4.3,7.2,6.1,29.1,1.02,0.34,2.53,10.2,117.4,110
Markelle Fultz,Orl,G,24.68,31,28.2,58.8,20.9,17.3,73,0.726,278,0.518,39,0.333,0.516,0.544,12.3,3.7,7.5,5.6,30.6,1.45,0.39,2.35,9,109.7,110.2
Wenyen Gabriel,Lal,F,25.86,41,15.7,32.8,15.3,12.4,55,0.636,154,0.669,27,0.333,0.644,0.653,6.5,4,13.7,0.5,4.1,0.37,0.61,0.71,6,126.4,102.9
Daniel Gafford,Was,F-C,24.34,48,17.7,36.9,15.9,14.1,118,0.627,217,0.742,0,0,0.742,0.736,8.3,5.1,15.9,0.8,6.4,0.35,1.25,0.92,7.3,137.6,102.8
Darius Garland,Cle,G,23.02,44,35.6,74.1,27.2,13.5,222,0.869,452,0.485,273,0.399,0.528,0.582,21.8,2.8,4.7,8.1,36.3,1.34,0.11,2.91,8.9,118,108.7
Usman Garuba,Hou,F,20.9,46,13.9,28.9,10,20.7,36,0.528,83,0.542,24,0.458,0.575,0.578,3.1,4.7,18.3,1,9.6,0.65,0.5,0.7,7,118.4,103.9
Luka Garza,Min,C,24.1,18,8.2,17.2,24.4,7.1,29,0.759,42,0.571,24,0.292,0.523,0.578,5.1,1.9,12.8,0.4,8,0.11,0.06,0.33,7.7,121.4,100.8
Rudy Gay,Uta,F-G,36.46,38,14.7,30.5,15.3,10.4,29,0.828,83,0.494,85,0.235,0.423,0.459,4.4,3,11.3,0.9,8.2,0.39,0.34,0.55,6.2,100.5,109.7
Paul George,Lac,F,32.76,37,34.1,71,29.4,14.7,174,0.885,364,0.525,283,0.385,0.548,0.596,23.3,6.1,9.9,5.4,26.5,1.49,0.41,3.38,10.7,112.9,106.4
Taj Gibson,Was,F,37.61,32,10.1,21.1,15.6,16.3,29,0.69,70,0.614,15,0.2,0.559,0.588,3.6,2,10.7,0.8,11.1,0.38,0.25,0.59,7.1,115.2,95.4
Josh Giddey,Okc,G,20.32,46,31,64.6,24.5,17,72,0.778,523,0.528,141,0.326,0.52,0.536,16.2,8,13.6,5.8,27.9,0.72,0.48,3.09,11.7,106.9,108.7
Shai Gilgeous-Alexander,Okc,G-F,24.56,47,35.6,74.2,32.5,10.6,477,0.91,828,0.528,128,0.359,0.529,0.62,30.8,4.8,7.2,5.6,26.2,1.68,1.11,2.94,10.6,123.8,109.7
Anthony Gill,Was,F,30.29,36,9.8,20.5,10.7,5.7,24,0.833,55,0.745,17,0.118,0.611,0.654,3,1.4,7.9,0.5,6.4,0.14,0.14,0.14,5.2,139.1,105.7
Rudy Gobert,Min,C,30.6,44,31.1,64.7,15.7,15.5,212,0.665,329,0.681,3,0,0.675,0.692,13.4,11.8,21.2,0.9,4,0.84,1.32,1.77,6.7,128.9,103
Jordan Goodwin,Was,G,24.28,36,18.8,39.3,16.1,13.5,40,0.75,137,0.482,64,0.406,0.522,0.549,6.7,3.4,10,2.7,19.5,1.06,0.53,0.94,8.4,115.7,105.7
Aaron Gordon,Den,F,27.38,46,30.2,62.9,21.3,10.9,226,0.619,392,0.633,116,0.388,0.621,0.635,16.8,6.8,13.1,2.7,12.9,0.76,0.76,1.61,8.9,125.8,111.2
Eric Gordon,Hou,G,34.11,44,30,62.6,18,12.8,122,0.811,217,0.521,232,0.341,0.516,0.559,12.8,2.1,3.8,2.7,13.3,0.59,0.34,1.68,5.6,111.3,120.5
Devonte' Graham,Nor,G,27.95,52,15.3,31.9,14.8,9.7,59,0.746,41,0.463,185,0.346,0.509,0.544,5.3,1.4,5.1,2.2,18.6,0.58,0.19,0.52,6.6,118.1,111
Jerami Grant,Por,F,28.9,49,35.5,73.9,23.4,9.2,261,0.801,454,0.529,278,0.421,0.568,0.614,21.2,4.3,7,2.3,10.4,0.86,0.82,1.76,6.7,120.3,113.2
A.J. Green,Mil,G,23.35,24,9.1,19,17.8,7.5,4,1,14,0.643,70,0.4,0.607,0.618,4.4,1.1,6.2,0.5,7.3,0.17,0,0.29,5.9,120.2,105
Draymond Green,Gol,F,32.92,46,31.8,66.2,12.3,27.3,73,0.685,197,0.594,83,0.325,0.563,0.585,7.9,7.5,12.8,6.8,27.5,0.91,0.76,2.54,9.3,114.9,106.1
JaMychal Green,Gol,F-C,32.62,31,14.8,30.9,17.7,18.5,36,0.778,86,0.651,57,0.298,0.57,0.601,6.2,4.1,15.1,0.7,6.6,0.45,0.32,1.16,7.1,110.7,102.5
Jalen Green,Hou,G,20.98,48,34.6,72,27.8,12.6,282,0.78,490,0.471,363,0.331,0.482,0.533,21.7,4.1,6.5,3.7,17.3,0.73,0.21,2.94,8,106.6,117
Javonte Green,Chi,G-F,29.53,28,16,33.4,13.9,14,43,0.674,70,0.686,34,0.382,0.649,0.667,5.9,2.9,10.2,0.8,6.9,0.79,0.71,0.71,6,125.3,104.9
Jeff Green,Den,F,36.43,30,19.5,40.6,16.4,12.7,66,0.682,121,0.603,43,0.279,0.555,0.588,7.6,2.6,7.6,1.2,8.3,0.43,0.23,0.93,5.9,114.3,108.8
Josh Green,Dal,G,22.21,32,22.3,46.6,13.3,13.9,62,0.726,79,0.671,74,0.432,0.66,0.685,7.7,2.4,6.3,1.4,9.2,0.88,0.06,0.91,5.3,129.4,107.2
AJ Griffin,Atl,F,19.44,48,20.8,43.4,17.5,7.5,24,0.917,179,0.57,192,0.411,0.594,0.607,9.6,2.1,5.5,1,6.9,0.79,0.13,0.65,5.2,117.7,113.6
Blake Griffin,Bos,F,33.89,21,13.1,27.4,12.3,8.9,21,0.714,34,0.618,28,0.321,0.556,0.59,4,3.3,13.7,1.1,11.1,0.29,0.14,0.33,7.4,128.6,100
Quentin Grimes,Nyk,G,22.74,41,30.2,62.9,14,11.1,58,0.81,115,0.626,220,0.35,0.56,0.585,10.3,3.5,6.1,2,9.3,0.73,0.41,1.1,5.5,118.4,109.8
Rui Hachimura,Was,F,24.98,30,24.3,50.5,22.9,9.3,58,0.759,235,0.545,89,0.337,0.534,0.558,13,4.3,9.6,1.2,7.4,0.4,0.4,1.2,6.7,106.4,111.8
Tyrese Haliburton,Ind,G,22.93,40,33.4,69.6,23.8,13.7,125,0.88,308,0.558,296,0.399,0.578,0.613,20.2,4,6.5,10.2,48.1,1.75,0.4,2.63,11.2,126.5,116.9
Jordan Hall,San,G,21.05,9,9.1,19,19.7,18,9,0.778,13,0.462,15,0.2,0.375,0.438,3.1,1.3,8.1,1.2,17,0.11,0,0.78,7.4,91.6,117.9
R.J. Hampton,Orl,G,21.99,26,13.9,28.9,18.2,13.9,37,0.838,61,0.525,53,0.34,0.518,0.572,5.7,1.5,6.1,1.3,13.6,0.62,0.15,0.81,6.4,111.4,112
Tim Hardaway Jr.,Dal,G-F,30.88,48,29.9,62.3,21.1,6.3,112,0.759,201,0.438,373,0.351,0.496,0.525,13.6,3.5,6.9,1.6,8.1,0.79,0.15,0.88,5.7,105.2,113.4
James Harden,Phi,G,33.44,34,36.7,76.6,25.2,17.1,214,0.864,243,0.506,251,0.394,0.55,0.619,21.4,6.4,10.2,11,45,1.21,0.53,3.56,12.5,123.7,108.5
Jaden Hardy,Dal,G,20.58,23,9.9,20.7,27.7,10.1,30,0.833,68,0.485,44,0.273,0.455,0.507,5.5,1.2,7.2,0.6,9.4,0.22,0.13,0.61,6.4,96.4,105.2
Ron Harper Jr.,Tor,F,22.81,3,3.1,6.5,22.6,0,0,0,2,0.5,3,0.667,0.8,0.8,2.7,0.7,12,0,0,0,0,0,0,N/A,N/A
Montrezl Harrell,Phi,F-C,29.02,46,12.9,26.9,18.3,12.7,85,0.694,174,0.609,2,0,0.602,0.635,5.9,2.8,12.6,0.7,7.6,0.35,0.54,0.67,7,124.8,103.2
Gary Harris,Orl,G,28.39,24,24,50.1,14,10.2,23,0.87,61,0.557,96,0.458,0.637,0.658,9.2,2,4.7,1.2,7,0.79,0.21,0.79,4.7,123.8,110.6
Joe Harris,Bro,G-F,31.41,44,24.5,51.1,14.1,8.2,21,0.667,93,0.559,210,0.405,0.592,0.597,8.5,2.7,6.3,1.6,8.5,0.55,0.27,0.64,5.4,116,108.8
Kevon Harris,Orl,G,25.61,26,12.6,26.3,13.7,15.4,27,0.815,48,0.438,28,0.393,0.493,0.552,3.7,2,9,0.5,5,0.46,0.12,0.62,4.9,109.6,107.3
Tobias Harris,Phi,F,30.55,46,33.8,70.5,19.5,9.2,79,0.861,365,0.584,223,0.381,0.579,0.601,16.3,6.2,10.6,2.7,12.3,1.02,0.57,1.37,7.7,117.7,108.3
Tobias Harris,Phi,F,30.55,46,33.8,70.5,19.5,9.2,79,0.861,365,0.584,223,0.381,0.579,0.601,16.3,6.2,10.6,2.7,12.3,1.02,0.57,1.37,7.7,117.7,108.3
Isaiah Hartenstein,Nyk,C-F,24.75,52,18.9,39.4,12.2,14.1,45,0.778,189,0.556,34,0.235,0.525,0.554,5.2,6.2,17.5,0.8,6,0.56,0.75,0.77,6.3,122,102.2
Josh Hart,Por,G,27.91,48,33.5,69.7,12.3,16.8,110,0.727,231,0.576,98,0.316,0.546,0.582,9.1,8.1,13.9,4,16.2,1.06,0.19,1.58,7.9,121.8,108.7
Udonis Haslem,Mia,F,42.65,5,7,14.6,13.6,0,2,0.5,9,0.111,1,0,0.1,0.138,0.6,1.2,9.8,0,0,0.2,0.2,0,0,52.7,93.2
Sam Hauser,Bos,F,25.15,50,14.5,30.3,14.9,6.4,15,0.667,36,0.667,190,0.389,0.597,0.602,5.6,2.4,9.2,0.7,6.6,0.28,0.22,0.32,5.8,119.4,107.1
Jaxson Hayes,Nor,C-F,22.7,29,14.1,29.5,14.9,12.5,58,0.672,78,0.654,23,0.13,0.55,0.593,5.2,3,11.9,0.8,8,0.28,0.38,0.62,6.6,118.7,104.9
Killian Hayes,Det,G,21.52,48,26.6,55.5,20.1,15.6,47,0.787,311,0.424,182,0.319,0.444,0.462,9.9,2.8,5.8,5.8,32.1,1.31,0.33,1.98,8.2,100.7,110.5
Gordon Hayward,Cha,F,32.87,26,31.3,65.1,19.7,13.3,80,0.8,207,0.512,91,0.308,0.497,0.54,13.8,4.6,7.7,3.7,16.8,0.81,0.27,1.96,7.9,107.2,117
Juancho Hernangomez,Tor,F,27.35,39,15.4,32.1,9.4,11.3,16,0.563,47,0.66,64,0.266,0.509,0.517,3.1,3.1,11.3,0.6,5.2,0.41,0.15,0.38,4.7,109.5,111
Willy Hernangomez,Nor,C-F,28.69,26,12.6,26.2,22.7,15.4,72,0.764,110,0.564,7,0.143,0.543,0.612,7,4.6,20.5,0.9,10.4,0.35,0.42,1.04,9.8,119.9,99.3
Tyler Herro,Mia,G,23.04,40,34.8,72.5,25.8,12,113,0.92,343,0.499,325,0.372,0.528,0.564,20.2,5.8,9.6,4.3,20.7,0.9,0.28,2.45,9.1,108.7,108.9
Buddy Hield,Ind,G,30.13,52,32.1,66.8,21.1,11.7,81,0.864,248,0.496,463,0.425,0.589,0.607,17.4,4.9,8.4,2.8,13,1.13,0.33,1.9,7.7,113.4,113.8
Haywood Highsmith,Mia,F,26.15,36,19,39.5,12.6,14.8,18,0.389,79,0.468,80,0.363,0.506,0.503,4.7,3.8,11.5,0.7,5.1,0.81,0.28,0.81,4.9,99.8,104.5
George Hill,Mil,G,36.75,34,19.6,40.9,11.3,15.1,46,0.739,58,0.621,74,0.311,0.534,0.575,5.1,2,5.2,2.6,17.3,0.56,0.09,0.79,6.1,121,109.6
Malcolm Hill,Chi,F,27.27,4,0.6,1.2,0,N/A,0,0,0,0,0,0,N/A,N/A,0,0.3,24.4,0,0,0,0,0,0,N/A,N/A
Aaron Holiday,Atl,G,26.34,47,15.1,31.4,13.1,11.9,28,0.857,108,0.426,72,0.431,0.514,0.543,4.4,1.3,4.7,1.4,11.3,0.57,0.21,0.55,5.3,111.8,110.2
Jrue Holiday,Mil,G,32.64,40,32.8,68.4,25.9,15.6,116,0.853,391,0.519,244,0.369,0.532,0.565,19.4,5.3,8.3,7.2,34.7,1.35,0.43,3.18,11,114.3,108.1
Justin Holiday,Atl,F-G,33.83,28,14.7,30.6,14.1,8.8,0,0,38,0.474,87,0.345,0.504,0.504,4.5,0.8,3,0.9,7.7,0.18,0.36,0.43,4,100.7,112.4
Richaun Holmes,Sac,F,29.3,32,9.1,18.9,12.2,14.4,14,0.857,61,0.689,4,0.75,0.715,0.738,3.3,2.2,13.6,0.2,2.3,0.09,0.31,0.38,5,134.7,102.7
Al Horford,Bos,C-F,36.67,41,30.7,64,11.6,6.9,14,0.714,110,0.555,196,0.429,0.611,0.615,9.4,6.1,10.9,2.7,11.7,0.54,0.98,0.56,7,130.8,108.5
Talen Horton-Tucker,Uta,G,22.19,41,15.4,32.1,22.5,14.2,60,0.733,157,0.503,106,0.255,0.454,0.489,6.9,2.3,8.3,2.4,21.8,0.66,0.32,1.17,8.7,102.2,109.1
Danuel House Jr.,Phi,F-G,29.66,34,15.6,32.6,12.3,10.8,36,0.75,47,0.66,69,0.348,0.578,0.611,4.7,1.9,6.9,0.7,6.4,0.18,0.21,0.47,4.7,116.5,109.2
Caleb Houstan,Orl,G,20.07,30,16.5,34.4,10.5,8.3,13,0.846,28,0.429,77,0.364,0.514,0.537,4,2.3,7.9,0.6,4.9,0.17,0.1,0.33,4.3,114.4,110.9
Trevor Hudgins,Hou,G,23.87,1,3.8,7.9,10.9,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,N/A,N/A
Kevin Huerter,Sac,G-F,24.44,47,30.6,63.8,19.2,10.4,90,0.711,219,0.58,319,0.408,0.599,0.613,15.1,3.4,6.3,3,13.6,1.06,0.28,1.43,7,117.9,109.5
De'Andre Hunter,Atl,F-G,25.17,42,31.9,66.5,19.9,8.3,144,0.84,329,0.508,184,0.364,0.521,0.569,15.6,4.3,7.4,1.3,5.6,0.5,0.19,1.24,5.6,111.7,109.8
Bones Hyland,Den,G,22.38,42,19.5,40.7,28.4,12.5,82,0.866,193,0.425,241,0.378,0.503,0.54,12.1,2,6.1,3,21.9,0.67,0.31,1.6,8.6,106.7,110.2
Serge Ibaka,Mil,F,33.38,16,11.6,24.1,16,15.6,13,0.615,36,0.556,18,0.333,0.537,0.553,4.1,2.8,12.3,0.3,3,0.13,0.44,0.69,5.2,104.9,101.8
Andre Iguodala,Gol,G-F,39.01,3,14.1,29.4,8.9,55.6,0,0,2,1,2,0.5,0.875,0.875,2.3,2.3,9,1.7,14.6,0.33,0.33,1.67,5.9,92.4,105.8
Joe Ingles,Mil,F-G,35.34,19,22,45.9,13.8,18.9,13,0.846,23,0.522,83,0.386,0.566,0.586,6.9,2.3,5.5,3.4,20.6,0.63,0.16,1.37,6.9,115.6,108.3
Brandon Ingram,Nor,F,25.42,18,31.6,65.8,28.7,14.6,92,0.88,213,0.451,75,0.4,0.49,0.553,20.2,5.1,9,4.9,24,0.89,0.61,3.11,10.1,106.7,108.2
Kyrie Irving,Bro,G,30.86,40,36.9,76.9,29.9,9.2,179,0.883,471,0.569,348,0.374,0.565,0.604,27.1,5.1,7.8,5.3,22.9,1.03,0.83,2.28,9.8,118.5,111.4
Jonathan Isaac,Orl,F,25.34,4,9.1,19,24.8,0,2,0,11,0.455,9,0.444,0.55,0.527,5.5,2.8,17.1,0.8,14.1,1.5,0,0,10.2,117.8,101.6
Jaden Ivey,Det,G,20.97,48,30,62.5,24.5,16.6,229,0.725,399,0.464,198,0.318,0.468,0.52,15.1,4.1,7.6,4.5,22.8,0.94,0.25,2.9,8.7,102.2,112.1
Jaren Jackson Jr.,Mem,F-C,23.38,35,27,56.2,22.8,10,146,0.781,265,0.577,146,0.363,0.566,0.609,16.5,6.7,13,0.9,4.6,1,3.26,1.51,6.9,119,99.9
Isaiah Jackson,Ind,F,21.06,39,15.6,32.6,17.9,13.8,88,0.682,178,0.579,9,0.111,0.559,0.596,6.9,3.9,13.8,0.9,8.4,0.41,1.46,0.92,7.4,116.6,103.8
Justin Jackson,Bos,F,27.85,22,4.9,10.1,12.2,6.7,2,0.5,7,0.286,20,0.25,0.352,0.359,0.9,0.8,8.8,0.4,10.6,0.18,0.18,0.09,5.4,89.7,107.3
Reggie Jackson,Lac,G,32.8,48,26.1,54.5,20.9,15.1,66,0.924,276,0.467,205,0.351,0.493,0.524,11.1,2.2,4.7,3.6,20.5,0.71,0.08,1.9,6.8,103.5,111.2
LeBron James,Lal,F,38.09,41,36.5,76,33.4,10.9,255,0.765,652,0.592,290,0.31,0.553,0.587,30.2,8.5,12.5,7.1,34.4,0.98,0.59,3.15,13.4,115.8,111.5
Ty Jerome,Gol,G-F,25.57,29,17.6,36.7,15,10.3,27,0.963,93,0.559,60,0.417,0.585,0.622,7.1,1.6,4.8,2.6,19.8,0.41,0.1,0.66,7,126.4,111.3
Isaiah Joe,Okc,G,23.59,43,15.1,31.4,17.5,6.3,44,0.818,45,0.556,190,0.437,0.636,0.659,7.8,2.1,7.5,1,9.4,0.6,0.12,0.4,6.7,131.3,107.3
Alize Johnson,San,F,26.78,4,7.4,15.4,15.3,36.8,2,0.5,4,0.75,2,0,0.5,0.509,1.8,2.5,18.9,0.3,4.3,0.25,0,1,6,74.1,109.2
Cameron Johnson,Pho,F,26.92,15,25.2,52.4,19.7,4.6,30,0.8,62,0.468,91,0.44,0.582,0.608,13.5,3.9,8.5,1.5,8.6,0.8,0.4,0.53,6.8,124.8,109.7
Jalen Johnson,Atl,F,21.13,47,14.8,30.9,14.9,9.4,55,0.691,124,0.581,74,0.297,0.53,0.558,5.3,3.9,14.1,1,8.3,0.47,0.45,0.49,7.4,115.1,105
James Johnson,Ind,F,35.95,12,8.2,17,14.4,14.8,4,0.75,17,0.412,10,0.3,0.426,0.452,2.2,1.3,9,0.6,9.5,0.33,0.42,0.42,5.8,90.9,92.8
Keldon Johnson,San,F-G,23.31,46,32.6,67.9,28,9.1,230,0.77,497,0.503,323,0.337,0.504,0.545,21.8,4.8,8.3,2.7,12.4,0.7,0.2,2,8.1,108.4,118.6
Keon Johnson,Por,G,20.9,25,10.5,21.9,24.3,18.4,17,0.529,58,0.379,54,0.352,0.451,0.46,4.4,1.4,7.5,1,13.3,0.48,0.16,1.08,7,86.3,107.6
Stanley Johnson,San,F-G,26.68,25,14.5,30.2,16.4,20.3,34,0.647,63,0.587,36,0.444,0.616,0.632,5.8,3,11.4,2.3,21.4,0.36,0.24,1.16,9.4,117,111.8
Nikola Jokic,Den,C,27.95,44,33.6,70,27.6,16.6,275,0.825,561,0.676,103,0.388,0.661,0.704,25.1,11.1,19.1,10,47.6,1.36,0.61,3.55,16.8,135.6,104.8
Derrick Jones Jr.,Chi,F,25.97,39,15.5,32.3,14.3,9.6,56,0.786,108,0.611,47,0.34,0.581,0.623,5.7,2.6,9.5,0.7,6,0.41,0.72,0.49,5.6,126.2,106.7
Carlik Jones,Chi,G,25.11,1,1.1,2.3,39.7,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,N/A,N/A
Damian Jones,Lal,C,27.6,22,8,16.7,13.1,16.4,20,0.75,34,0.588,3,0,0.541,0.6,2.5,2.5,16.7,0.2,2.9,0.14,0.55,0.41,5.4,118.5,106.2
Herbert Jones,Nor,F,24.33,36,28,58.3,15.7,12,109,0.761,183,0.519,98,0.296,0.493,0.547,10,3.8,7.7,2.1,10.1,1.58,0.67,1.25,6.2,112.7,103.1
Kai Jones,Cha,C-F,22.04,27,8.8,18.3,12.9,12.3,12,0.667,48,0.583,11,0.273,0.551,0.568,2.7,1.9,11.6,0.2,2.9,0.19,0.41,0.33,4.6,112.8,106.9
Tre Jones,San,G,23.07,51,29.4,61.3,20.1,12.3,126,0.889,450,0.487,131,0.267,0.467,0.515,12.8,3.5,6.7,6.3,29.6,1.31,0.16,1.75,8.9,112.9,118.8
Tyus Jones,Mem,G,26.73,51,23.5,48.9,18.1,8.3,69,0.797,247,0.478,210,0.386,0.524,0.548,10.5,2.3,5.1,4.7,27.1,1.04,0.04,0.86,8.2,123,113.9
DeAndre Jordan,Den,C,34.54,32,14.4,30,13.2,26.3,38,0.447,86,0.767,1,1,0.776,0.733,4.8,4.9,19.8,0.9,8.6,0.22,0.63,1.16,7.7,118.1,101.5
Cory Joseph,Det,G,31.46,36,15.7,32.6,14.6,12.8,34,0.765,87,0.448,68,0.309,0.455,0.491,4.6,1.3,4.7,3.3,28.9,0.42,0.08,0.69,6.9,113.7,114.4
Nikola Jovic,Mia,F,19.65,15,13.6,28.4,18.8,11.4,19,0.947,34,0.588,35,0.229,0.464,0.53,5.5,2.1,8.7,0.7,7.2,0.47,0.13,0.67,5.9,105.9,104.3
Mfiondu Kabengele,Bos,F-C,25.47,2,7,14.6,9.3,33.3,0,0,1,1,1,0,0.5,0.5,1,2.5,19.6,0,0,0,0,0.5,0,113.7,93.6
Frank Kaminsky,Atl,F-C,29.83,25,6.9,14.5,14,14,12,0.833,21,0.667,23,0.478,0.693,0.72,2.8,1.4,11.2,0.8,15.8,0.16,0.04,0.32,8.5,134.5,104.4
Trevor Keels,Nyk,G,19.44,1,1,2.1,42.6,0,0,0,0,0,1,0,0,0,0,1,53.5,0,0,0,0,0,0,N/A,N/A
Luke Kennard,Lac,G,26.61,33,21.3,44.5,15.1,12.4,20,0.95,76,0.513,128,0.453,0.618,0.637,8.2,2.5,6.5,1.1,7.6,0.55,0.12,0.91,5.3,115.9,110.4
Walker Kessler,Uta,C,21.52,50,20.4,42.5,13.2,11.9,98,0.531,238,0.718,0,0,0.718,0.701,7.9,7.4,20.1,0.8,5.4,0.34,2.06,0.76,7.1,139.6,105.3
Braxton Key,Det,F,25.97,3,3,6.3,8.7,0,2,1,1,1,0,0,1,1.064,1.3,0.3,6.1,0,0,0,0,0,0,N/A,N/A
Corey Kispert,Was,F,23.92,42,27.5,57.2,13.2,9.7,55,0.855,104,0.577,189,0.418,0.609,0.637,9.6,2.8,5.6,1.4,6.8,0.62,0.12,0.81,4.9,121.6,113.7
Maxi Kleber,Dal,F,31.01,22,25.7,53.4,9.9,10.6,14,0.786,39,0.692,65,0.369,0.606,0.622,6.2,3.5,8.1,1,5.2,0.32,1,0.59,4.3,122.7,110.8
Nathan Knight,Min,F-C,25.37,28,7.5,15.6,18.8,15.2,39,0.692,44,0.682,17,0.412,0.664,0.691,3.9,1.5,11.2,0.3,6.1,0.29,0.11,0.5,6.4,125.6,102.3
Kevin Knox II,Det,F,23.48,40,14.5,30.3,16.1,14,33,0.788,63,0.651,113,0.381,0.599,0.622,5.9,2.6,10,0.4,3.8,0.33,0.28,0.78,5.1,111.4,109.2
Christian Koloko,Tor,C,22.62,43,14.8,30.8,11,11,53,0.66,114,0.518,9,0.111,0.492,0.533,3.6,3.2,12.3,0.5,4.1,0.26,1.05,0.42,4.8,119.6,102.2
John Konchar,Mem,G,26.87,43,23.2,48.3,11,9.3,23,0.87,105,0.524,129,0.364,0.536,0.555,6.3,4.9,11.1,1.5,7.9,1.07,0.26,0.58,6.2,118.6,105.8
Furkan Korkmaz,Phi,G-F,25.53,24,10.5,22,18.5,14.2,29,0.655,43,0.465,35,0.343,0.487,0.523,4,1.2,6.7,0.8,9.9,0.25,0.13,0.63,6,100.5,113.2
Luke Kornet,Bos,F-C,27.55,45,11.8,24.6,11.4,13,27,0.815,100,0.72,9,0.333,0.702,0.724,3.9,3,14.1,0.7,8.6,0.2,0.78,0.4,6.8,147,103.5
Vit Krejci,Atl,G,22.62,19,6,12.5,11.5,9.7,2,0.5,9,0.556,18,0.278,0.463,0.466,1.4,0.7,6.2,0.6,11.7,0.16,0.05,0.16,5.6,105.2,109.9
Jonathan Kuminga,Gol,F,20.33,39,19,39.5,19.2,16.5,78,0.654,173,0.572,76,0.316,0.542,0.566,8.2,3.1,8.9,1.7,12.9,0.46,0.46,1.44,7.4,106.8,105.5
Kyle Kuzma,Was,F,27.53,49,35.4,73.7,27.9,13.1,184,0.707,516,0.545,374,0.337,0.528,0.551,21.8,7.6,11.8,3.9,17.6,0.51,0.47,3,9.8,104.5,109.4
Anthony Lamb,Gol,F,25.04,42,19.3,40.2,14.1,15.3,36,0.75,74,0.703,142,0.401,0.637,0.651,7.2,3.3,9.2,1.7,11.6,0.52,0.26,1,7.1,120.3,105.8
Jock Landale,Pho,C,27.28,44,14.4,30,19.4,14.5,68,0.838,151,0.636,66,0.258,0.56,0.607,6.8,3.9,15.2,0.9,9,0.25,0.5,0.95,8,118.9,103.4
Romeo Langford,San,G-F,23.28,32,20.2,42.1,15.6,9.1,37,0.649,158,0.551,46,0.283,0.522,0.538,7.4,2.9,7.9,1.3,9,0.5,0.34,0.69,6,113.6,116.8
Jake LaRavia,Mem,F,21.25,28,13.3,27.7,11.5,16.2,9,0.778,24,0.542,60,0.35,0.53,0.546,3.4,2.1,8.1,0.8,6.9,0.43,0.14,0.61,5.4,107.3,103
Zach LaVine,Chi,G-F,27.9,46,35.8,74.6,27.8,11.1,231,0.835,479,0.522,350,0.377,0.54,0.585,23.7,4.8,7.6,4.2,18.1,1,0.17,2.52,8.7,112.3,111.3
A.J. Lawson,Min,G,25.77,1,1.8,3.8,23.7,0,0,0,1,1,0,0,1,1,2,1,31.2,0,0,0,0,0,0,N/A,N/A
A.J. Lawson,Dal,G,25.77,8,3,6.3,23.3,0,3,0.333,4,0.5,7,0.429,0.591,0.568,1.8,0.3,4.9,0.1,7,0,0,0,5,N/A,N/A
Damion Lee,Pho,G-F,30.28,53,22.3,46.4,16.1,13.5,86,0.907,151,0.437,197,0.462,0.582,0.626,9.1,3.3,8.2,1.4,8.9,0.42,0.09,1.13,6.2,116.9,110.8
Saben Lee,Phi,G,23.61,2,5.1,10.5,30.7,42.9,0,0,3,1,1,0,0.75,0.75,3,0,0,1,36.4,0.5,0,1.5,0,86.4,104.6
