name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Edmond Sumner,Bro,G,27.09,43,13.5,28.2,21.4,14,78,0.923,139,0.511,67,0.343,0.512,0.589,6.6,1.5,6.4,1.3,13.7,0.63,0.16,0.91,6.9,111.6,106.4
Cole Swider,Lal,F,23.74,5,7.3,15.3,10.4,0,0,0,1,0,8,0.375,0.5,0.5,1.8,1.4,10.2,0.8,13.5,0,0,0,6.9,124,110.2
Jae'Sean Tate,Hou,F,27.27,14,20.7,43.1,17.8,19.2,20,0.8,72,0.486,20,0.3,0.478,0.516,7.4,4.1,10.7,3.1,21.7,0.71,0.14,1.71,8.8,106.6,102.4
Jayson Tatum,Bos,F-G,24.92,49,37.3,77.7,33,10,421,0.869,603,0.552,460,0.357,0.545,0.61,31.1,8.7,12.9,4.4,20,1.08,0.76,2.84,11.4,119.5,107
Terry Taylor,Ind,G,23.36,25,8.9,18.6,14.2,11.8,7,0.714,46,0.543,18,0.222,0.484,0.499,2.7,1.6,9.6,0.4,5.6,0.12,0.2,0.36,5.4,107.2,112.1
Garrett Temple,Nor,G-F,36.74,12,8.1,16.9,14.7,8.9,4,0.75,12,0.5,17,0.471,0.621,0.634,3.3,0.8,5.8,0.7,11.4,0.58,0.08,0.25,6.1,125.3,102.8
Dalen Terry,Chi,F,20.56,18,3.1,6.5,17,18.4,4,0.75,12,0.417,4,0.25,0.406,0.45,0.9,0.3,6,0.4,16.1,0.06,0.11,0.22,6.1,N/A,N/A
Cam Thomas,Bro,G,21.31,34,14.1,29.4,24,10.1,74,0.784,149,0.463,50,0.36,0.482,0.54,7.4,1.3,5.3,1.3,12.7,0.38,0.12,0.76,6.6,105.4,113.8
Klay Thompson,Gol,G,32.98,40,32.7,68,26.5,8.1,80,0.9,313,0.447,413,0.392,0.528,0.55,21,4,6.7,2.4,11.2,0.65,0.4,1.68,7.2,106.6,113.1
JT Thor,Cha,F,20.44,39,11,23,12.6,13.8,23,0.739,49,0.49,53,0.245,0.426,0.464,2.7,1.7,8.3,0.4,4.5,0.23,0.23,0.46,4.5,94.4,113.2
Matisse Thybulle,Phi,G-F,25.92,46,12.1,25.1,9.6,5.8,12,0.75,48,0.563,60,0.333,0.528,0.543,2.7,1.2,6,0.5,5.2,0.89,0.3,0.15,3.9,116.5,103
Xavier Tillman,Mem,F,24.06,32,13,27.1,13.8,10.6,40,0.525,99,0.616,10,0.3,0.601,0.6,4.8,3.7,14.9,0.9,9.3,0.78,0.31,0.47,7.8,128.7,104.3
Isaiah Todd,Was,F,21.3,4,3.2,6.6,13.7,0,0,0,1,1,3,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,N/A,N/A
